Source:,C:\Users\Michel\Documents\Projets-kicad\automate\automate.sch,,,,,,,
Date:,22/01/2022 15:14:08,,,,,,,
Tool:,Eeschema (6.0.0),,,,,,,
Generator:,C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,,,
Component Count:,230,,,,,,,
,,,,,,,,
Individual Components:,,,,,,,,
,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,MANUFACTURER_PART_NUMBER,VENDOR
,,BZ1,Buzzer,Device:Buzzer,buzzer_perso:Buzzer_Mallory_AST1109MLTRQ,~,,
,,BZ2,Buzzer,Device:Buzzer,buzzer_perso:Buzzer_12x9.5RM7.6,~,,
,,C1,100µF,Device:CP,capacitor_perso:C_Elec_8x6.2,,,
,,C2,100nF,Device:C,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,C3,2.2nF,Device:C,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,C4,100nF,Device:C,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,C5,100µF,Device:CP,capacitor_perso:C_Elec_8x6.2,,,
,,C6,100nF,Device:C,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,C7,100nF,Device:C,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,C8,100nF,Device:C,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,C9,100nF,Device:C,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,C10,100nF,Device:C,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,C11,100nF,Device:C,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,C12,100nF,Device:C,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,C13,100nF,Device:C,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
,,C14,100nF,Device:C,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
